Text,Timestamp,User,Platform,Hashtags,Retweets,Likes,Country,Year,Month,Day,Hour,DayOfWeek,TimePeriod,CleanedText,ComputedSentiment,ExtractedHashtags
 Enjoying a beautiful day at the park!              ,2023-01-15 12:30:00, User123      ,Twitter, #Nature #Park                            ,15.0,30.0,Usa,2023,1,15,12,Sunday,Afternoon,enjoying a beautiful day at the park,Positive,"['#Nature', '#Park']"
 Traffic was terrible this morning.                 ,2023-01-15 08:45:00, CommuterX    ,Twitter, #Traffic #Morning                        ,5.0,10.0,Canada,2023,1,15,8,Sunday,Morning,traffic was terrible this morning,Negative,"['#Traffic', '#Morning']"
 Just finished an amazing workout! 💪               ,2023-01-15 15:45:00, FitnessFan   ,Instagram, #Fitness #Workout                        ,20.0,40.0,Usa,2023,1,15,15,Sunday,Afternoon,just finished an amazing workout,Positive,"['#Fitness', '#Workout']"
 Excited about the upcoming weekend getaway!        ,2023-01-15 18:20:00, AdventureX   ,Facebook, #Travel #Adventure                       ,8.0,15.0,Uk,2023,1,15,18,Sunday,Evening,excited about the upcoming weekend getaway,Positive,"['#Travel', '#Adventure']"
 Trying out a new recipe for dinner tonight.        ,2023-01-15 19:55:00, ChefCook     ,Instagram, #Cooking #Food                           ,12.0,25.0,Australia,2023,1,15,19,Sunday,Evening,trying out a new recipe for dinner tonight,Positive,"['#Cooking', '#Food']"
 Feeling grateful for the little things in life.    ,2023-01-16 09:10:00, GratitudeNow ,Twitter, #Gratitude #PositiveVibes              ,25.0,50.0,India,2023,1,16,9,Monday,Morning,feeling grateful for the little things in life,Negative,"['#Gratitude', '#PositiveVibes']"
 Rainy days call for cozy blankets and hot cocoa.   ,2023-01-16 14:45:00, RainyDays    ,Facebook, #RainyDays #Cozy                         ,10.0,20.0,Canada,2023,1,16,14,Monday,Afternoon,rainy days call for cozy blankets and hot cocoa,Neutral,"['#RainyDays', '#Cozy']"
 The new movie release is a must-watch!             ,2023-01-16 19:30:00, MovieBuff    ,Instagram, #MovieNight #MustWatch                  ,15.0,30.0,Usa,2023,1,16,19,Monday,Evening,the new movie release is a mustwatch,Positive,"['#MovieNight', '#MustWatch']"
 Political discussions heating up on the timeline.  ,2023-01-17 08:00:00, DebateTalk   ,Twitter, #Politics #Debate                       ,30.0,60.0,Usa,2023,1,17,8,Tuesday,Morning,political discussions heating up on the timeline,Neutral,"['#Politics', '#Debate']"
 Missing summer vibes and beach days.               ,2023-01-17 12:20:00, BeachLover   ,Facebook, #Summer #BeachDays                      ,18.0,35.0,Australia,2023,1,17,12,Tuesday,Afternoon,missing summer vibes and beach days,Negative,"['#Summer', '#BeachDays']"
